Country_Region,Province_State,variable,cum_cases,new_cases,cum_deaths,new_deaths,Population
Mexico,Aguascalientes,2020-02-26,0.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-02-27,0.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-02-28,0.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-02-29,0.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-01,0.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-02,0.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-03,0.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-04,0.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-05,0.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-06,0.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-07,0.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-08,0.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-09,0.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-10,0.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-11,0.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-12,0.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-13,0.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-14,0.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-15,1.0,1.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-16,1.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-17,1.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-18,1.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-19,4.0,3.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-20,4.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-21,4.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-22,4.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-23,6.0,2.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-24,6.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-25,12.0,6.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-26,13.0,1.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-27,19.0,6.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-28,19.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-29,24.0,5.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-30,24.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-03-31,36.0,12.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-04-01,36.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-04-02,47.0,11.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-04-03,48.0,1.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-04-04,49.0,1.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-04-05,49.0,0.0,0.0,0.0,1434635.0
Mexico,Aguascalientes,2020-04-06,49.0,0.0,0.0,0.0,1434635.0
