continent,country,province,train_start_date,train_end_date,train_mape_cases,train_mape_deaths,test_start_date,test_end_date,test_mape_cases,test_mape_deaths
Africa,Somalia,None,2020-04-17 00:00:00,2020-04-30 00:00:00,4.536,16.755,2020-05-01 00:00:00,2020-05-04 00:00:00,2.482,10.566
Africa,Somalia,None,None,None,4.536,16.755,None,None,2.482,10.566
Africa,South Africa,None,2020-03-18 00:00:00,2020-04-22 00:00:00,21.401,55.343,2020-04-23 00:00:00,2020-05-04 00:00:00,9.865,7.843
Africa,South Africa,None,None,None,21.401,55.343,None,None,9.865,7.843
Africa,Sudan,None,2020-04-20 00:00:00,2020-05-01 00:00:00,3.287,3.31,2020-05-02 00:00:00,2020-05-04 00:00:00,15.302,16.666
Africa,Sudan,None,None,None,3.287,3.31,None,None,15.302,16.666
Africa,Tanzania,None,2020-04-17 00:00:00,2020-04-30 00:00:00,11.848,13.122,2020-05-01 00:00:00,2020-05-04 00:00:00,13.153,7.643
Africa,Tanzania,None,None,None,11.848,13.122,None,None,13.153,7.643
Africa,Tunisia,None,2020-03-24 00:00:00,2020-04-24 00:00:00,2.701,12.426,2020-04-25 00:00:00,2020-05-04 00:00:00,0.691,5.317
Africa,Tunisia,None,None,None,2.701,12.426,None,None,0.691,5.317
Asia,Afghanistan,None,2020-03-27 00:00:00,2020-04-25 00:00:00,4.301,12.654,2020-04-26 00:00:00,2020-05-04 00:00:00,16.274,3.699
Asia,Afghanistan,None,None,None,4.301,12.654,None,None,16.274,3.699
Asia,Armenia,None,2020-03-19 00:00:00,2020-04-23 00:00:00,9.321,19.775,2020-04-24 00:00:00,2020-05-04 00:00:00,9.243,5.399
Asia,Armenia,None,None,None,9.321,19.775,None,None,9.243,5.399
Asia,Azerbaijan,None,2020-03-26 00:00:00,2020-04-24 00:00:00,4.695,6.53,2020-04-25 00:00:00,2020-05-04 00:00:00,3.281,12.584
Asia,Azerbaijan,None,None,None,4.695,6.53,None,None,3.281,12.584
Asia,Bahrain,None,2020-03-10 00:00:00,2020-04-20 00:00:00,12.185,48.594,2020-04-21 00:00:00,2020-05-04 00:00:00,2.232,26.687
Asia,Bahrain,None,None,None,12.185,48.594,None,None,2.232,26.687
