FIPS,State,County,country_region_code,sub_region_1,sub_region_2,CurDate,CurCases,CurCasesRate,CurDeaths,CurDeathsRate,Pop,Density
34031,New Jersey,Passaic County,US,New Jersey,Passaic County,2020-04-22,9392,18.6604677038008,327,0.649698992668534,503310,2705.80772
25025,Massachusetts,Suffolk County,US,Massachusetts,Suffolk County,2020-04-22,9060,11.223261137786,318,0.393929033313018,807252,13859.5931
34023,New Jersey,Middlesex County,US,New Jersey,Middlesex County,2020-04-22,9047,10.9041383175543,369,0.444747102816129,829685,2683.17174
36071,New York,Orange County,US,New York,Orange County,2020-04-22,6705,17.5546077900045,183,0.479119049302136,381951,470.19713
26125,Michigan,Oakland County,US,Michigan,Oakland County,2020-04-22,6463,5.13261981208719,529,0.420107671451976,1259201,1451.68918
22071,Louisiana,Orleans Parish,US,Louisiana,Orleans Parish,2020-04-22,6209,15.879551720434,367,0.938604522692746,391006,2307.78674
22051,Louisiana,Jefferson Parish,US,Louisiana,Jefferson Parish,2020-04-22,5860,13.5007176576024,297,0.684251389813639,434051,1468.08475
9009,Connecticut,New Haven County,US,Connecticut,New Haven County,2020-04-22,5811,6.77572817798092,345,0.40227606632308,857620,1418.68867
25009,Massachusetts,Essex County,US,Massachusetts,Essex County,2020-04-22,5783,7.31434613565247,271,0.342761162504205,790638,1605.4411
53033,Washington,King County,US,Washington,King County,2020-04-22,5451,2.44093243529469,381,0.170610027122964,2233163,1055.71928
34029,New Jersey,Ocean County,US,New Jersey,Ocean County,2020-04-22,5234,8.69939549672485,270,0.448765147901358,601651,957.49106
48201,Texas,Harris County,US,Texas,Harris County,2020-04-22,5211,1.10904927596811,80,0.0170262794238052,4698619,2755.46505
34025,New Jersey,Monmouth County,US,New Jersey,Monmouth County,2020-04-22,5086,8.18535005809892,251,0.403956520759503,621354,1327.18605
26099,Michigan,Macomb County,US,Michigan,Macomb County,2020-04-22,4628,5.29060003955375,473,0.540720358407287,874759,1825.27418
34027,New Jersey,Morris County,US,New Jersey,Morris County,2020-04-22,4556,9.21841741058783,309,0.625217510946365,494228,1073.09299
18097,Indiana,Marion County,US,Indiana,Marion County,2020-04-22,4263,4.46541736935276,214,0.224161228487331,954670,2408.08286
12011,Florida,Broward County,US,Florida,Broward County,2020-04-22,4228,2.16680503879545,141,0.0722610005842379,1951260,1621.84671
25021,Massachusetts,Norfolk County,US,Massachusetts,Norfolk County,2020-04-22,4212,5.97118181766631,312,0.442309764271578,705388,1780.84661
9003,Connecticut,Hartford County,US,Connecticut,Hartford County,2020-04-22,4128,4.62418939460982,442,0.495128806302698,892697,1214.61654
24033,Maryland,Prince George's County,US,Maryland,Prince George's County,2020-04-22,3875,4.26148235801291,125,0.137467172839126,909308,1883.98266
44007,Rhode Island,Providence County,US,Rhode Island,Providence County,2020-04-22,3727,5.85928902472001,20,0.0314423881122619,636084,1553.37179
25027,Massachusetts,Worcester County,US,Massachusetts,Worcester County,2020-04-22,3456,4.15965066637459,143,0.172115175142236,830839,549.98775
42091,Pennsylvania,Montgomery County,US,Pennsylvania,Montgomery County,2020-04-22,3294,3.97536096856882,230,0.277575295315977,828604,1715.68542
25023,Massachusetts,Plymouth County,US,Massachusetts,Plymouth County,2020-04-22,3253,6.27832289841199,157,0.30301158778072,518132,786.31135
32003,Nevada,Clark County,US,Nevada,Clark County,2020-04-22,3218,1.4419843281666,150,0.0672149313937195,2231647,282.78586
11001,District of Columbia,District of Columbia,US,District of Columbia,"",2020-04-22,3206,4.56399342306625,127,0.18079449929177,702455,11490.0386
6065,California,Riverside County,US,California,Riverside County,2020-04-22,3084,1.25838618092851,99,0.0403956653410904,2450758,340.07321
24031,Maryland,Montgomery County,US,Maryland,Montgomery County,2020-04-22,2868,2.72476716446554,110,0.104506411468344,1052567,2134.69526
4013,Arizona,Maricopa County,US,Arizona,Maricopa County,2020-04-22,2846,0.645230913770307,97,0.0219913558101615,4410824,479.47648
34021,New Jersey,Mercer County,US,New Jersey,Mercer County,2020-04-22,2845,7.6931189175011,145,0.392092176814643,369811,1647.74945
42045,Pennsylvania,Delaware County,US,Pennsylvania,Delaware County,2020-04-22,2798,4.95439583108308,124,0.219565790941495,564751,3072.32114
34035,New Jersey,Somerset County,US,New Jersey,Somerset County,2020-04-22,2688,8.11682429249556,183,0.552596296698917,331164,1097.07448
48113,Texas,Dallas County,US,Texas,Dallas County,2020-04-22,2683,1.01714628861024,65,0.0246420084829166,2637772,3024.77364
25013,Massachusetts,Hampden County,US,Massachusetts,Hampden County,2020-04-22,2678,5.69295459666756,271,0.576098093986896,470406,762.42078
34007,New Jersey,Camden County,US,New Jersey,Camden County,2020-04-22,2528,4.98542630522326,94,0.185375819893586,507078,2290.83221
