Continent,Country,Province,pop2016
South America,Mexico,Baja California Sur,804708
South America,Mexico,Campeche,1000617
South America,Mexico,Sonora,3074745
South America,Mexico,Tamaulipas,3650602
South America,Mexico,Chihuahua,3801487
South America,Mexico,Morelos,2044058
South America,Mexico,Aguascalientes,1434635
South America,Mexico,Queretaro,2279637
South America,Mexico,San Luis Potosi,2866142
South America,Mexico,Tlaxcala,1380011
South America,Mexico,Veracruz,8539862
South America,Mexico,Oaxaca,4143593
South America,Mexico,Chiapas,5730367
South America,Mexico,Guanajuato,6228175
South America,Mexico,Coahuila,3218720
South America,Mexico,Zacatecas,1666426
South America,Mexico,Durango,1868996
South America,Mexico,Colima,785153
South America,Mexico,Ciudad de Mexico,9018645
South America,Mexico,Jalisco,8409693
South America,Mexico,Guerrero,3657048
South America,Mexico,Nayarit,1288571
South America,Mexico,Hidalgo,3086414
South America,Mexico,Sinaloa,3156674
South America,Mexico,Nuevo Leon,5610153
South America,Mexico,Michoacan,4825401
South America,Mexico,Baja California,3634868
South America,Mexico,Quintana Roo,1723259
South America,Mexico,Puebla,6604451
South America,Mexico,Mexico,17427790
South America,Mexico,Tabasco,2572287
South America,Mexico,Yucatan,2259098
South America,Peru,Cusco,1357100
South America,Peru,Junin,1361500
South America,Peru,Huanuco,760300
South America,Peru,Loreto,1027600
South America,Peru,San Martin,899600
South America,Peru,Lambayeque,1310800
South America,Peru,Moquegua,192700
South America,Peru,Tumbes,251500
South America,Peru,Puno,1238000
South America,Peru,Piura,2048000
South America,Peru,Pasco,271900
South America,Peru,Tacna,371000
South America,Peru,Callao,1129900
South America,Peru,Cajamarca,1453700
South America,Peru,Madre de dios,173800
South America,Peru,Amazonas,426800
South America,Peru,Lima,10628500
South America,Peru,Ayacucho,668200
South America,Peru,Arequipa,1497400
South America,Peru,Ancash,1180600
South America,Peru,Ucayali,589100
South America,Peru,Huancavelica,365300
South America,Peru,La Libertad,2016800
South America,Peru,Ica,975200
South America,Brazil,Tocantins,1572866
South America,Brazil,Amazonas,4144597
South America,Brazil,Rio Grande do Sul,11377239
South America,Brazil,Roraima,605761
South America,Brazil,Sao Paulo,45919049
South America,Brazil,Alagoas,3337357
South America,Brazil,Goias,7018354
South America,Brazil,Pernambuco,9557071
South America,Brazil,Distrito Federal,3015268
South America,Brazil,Rondonia,1777225
South America,Brazil,Acre,881935
South America,Brazil,Rio Grande do Norte,3506853
South America,Brazil,Amapa,845731
South America,Brazil,Sergipe,2298696
South America,Brazil,Paraiba,4018127
South America,Brazil,Santa Catarina,7164788
South America,Brazil,Rio de Janeiro,17264943
South America,Brazil,Bahia,14873064
South America,Brazil,Ceara,9132078
South America,Brazil,MatoGrosso do Sul,2778986
South America,Brazil,Maranhao,7075181
South America,Brazil,Para,8602865
South America,Brazil,MatoGrosso,3484466
South America,Brazil,Parana,11433957
South America,Brazil,Piaui,3273227
South America,Brazil,Minas Gerais,21168791
South America,Brazil,Espiritu Santo,4018650
South America,Colombia,Sucre,904863
South America,Colombia,Antioquia,6407102
South America,Colombia,Putumayo,348182
South America,Colombia,Cundinamarca,2919060
South America,Colombia,Casanare,420504
South America,Colombia,Amazonas,76589
South America,Colombia,Bolivar,2070110
South America,Colombia,Risaralda,943401
South America,Colombia,La Guajira,880560
South America,Colombia,Arauca,262174
South America,Colombia,Meta,1039722
South America,Colombia,Huila,1100386
South America,Colombia,Narino,1630592
South America,Colombia,Boyaca,1217376
South America,Colombia,Caldas,998255
South America,Colombia,Caqueta,401489
South America,Colombia,Bogota,7412566
South America,Colombia,Cauca,1464488
South America,Colombia,Choco,534826
South America,Colombia,Magdalena,1341746
South America,Colombia,San Andres y Providencia,61280
South America,Colombia,Norte de Santander,1491689
South America,Colombia,Tolima,1330187
South America,Colombia,Vaupes,40797
South America,Colombia,Cesar,1200574
South America,Colombia,Valle del Cauca,4475886
South America,Colombia,Cordoba,1784783
South America,Colombia,Quindio,539904
South America,Colombia,Atlantico,2535517
South America,Chile,Valparaiso,1815902
South America,Chile,Maule,1044950
South America,Chile,Arica y Parinacota,226068
South America,Chile,Atacama,288944
South America,Chile,O'Higgins,914555
South America,Chile,Antofagasta,607534
South America,Chile,Nuble,480609
South America,Chile,Tarapaca,330558
South America,Chile,Los Rios,384837
South America,Chile,Araucania,957224
South America,Chile,Los Lagos,828708
South America,Chile,Coquimbo,757586
South America,Chile,Biobio,1556805
South America,Chile,Magallanes,166533
South America,Chile,Aysen,103158
South America,Chile,Santiago,7112808
South America,South Africa,Mpumalanga,4592187
South America,South Africa,Limpopo,5982584
South America,South Africa,Western Cape,6844272
South America,South Africa,Eastern Cape,6712276
South America,South Africa,North_West,4027160
South America,South Africa,Gauteng,15176115
South America,South Africa,KwaZulu_Natal,11289086
South America,South Africa,Northern Cape,1263875
South America,South Africa,Free State,2887465
