Continent,Country,Province,pop2016
North America,US,Birmingham_Hoover_AL,1090435
North America,US,Nashville_Davidson_Murfreesboro_Franklin_TN,1934317
North America,US,Tampa_St_Petersburg_Clearwater_FL,3194831
North America,US,Durham_Chapel_Hill_Raleigh_Cary_NC,2079687
North America,US,Knoxville_TN,869046
North America,US,Atlanta_Sandy_Springs_Alpharetta_GA,6020364
North America,US,Savannah_Hinesville_Statesboro_GA,583882
North America,US,Mobile_AL,429536
North America,US,Sioux_Falls_SD,268232
North America,US,Reno_Carson_City_Fernley_NV,637973
North America,US,St._Louis_MO_IL,2803228
North America,US,Chicago_Naperville_Elgin_IL_IN_WI,9458539
North America,US,Columbia_Orangeburg_Newberry_SC,963048
North America,US,Indianapolis_Carmel_Muncie_IN,2457286
North America,US,Charleston_North_Charleston_SC,802122
North America,US,Louisville_Jefferson_County_Elizabethtown_Bardstown_KY_IN,1489142
North America,US,Cincinnati_OH_KY_IN,2221208
North America,US,Las Vegas_Henderson_Paradise_NV,2266715
North America,US,Greenville_Spartanburg_Anderson_SC,1475235
North America,US,Fayetteville_Sanford_Lumberton_NC,854826
North America,US,Omaha_Council_Bluffs_NE_IA,949442
North America,US,Kansas_City_Overland_Park_Kansas_City_MO_KS,2501151
North America,US,Pittsburgh_PA,2317600
North America,US,Lexington_Fayette_Richmond_Frankfort_KY,745033
North America,US,Medford_Grants_Pass_OR,308431
North America,US,New_Orleans_Metairie_LA,1270530
North America,US,New_York_Newark_Jersey_City_New_Brunswick_Lakewood_NY_NJ,19216182
North America,US,Miami_Fort_Lauderdale_Pompano_Beach_FL,6166488
North America,US,Johnson_City_Kingsport_Bristol_TN_VA,510851
North America,US,Gainesville_Lake_City_FL,400814
North America,US,Greensboro_Winston_Salem_High_Point_NC,1689151
North America,US,Charlotte_Concord_NC_SC,2386401
North America,US,Tucson_AZ,1047279
North America,US,Seattle_Tacoma_Bellevue_WA,3979845
North America,US,Little_Rock_North_Little_Rock_AR,908941
North America,US,Jonesboro_Paragould_AR,179185
North America,US,Lynchburg_VA,263566
North America,US,Memphis_Forrest_City_TN_MS_AR,1371039
North America,US,Phoenix_Mesa_AZ,4948203
North America,US,Richmond_VA,1291900
North America,US,Rochester_NY,1069644
North America,US,San_Jose_Sunnyvale_Santa_Clara_San_Francisco_Oakland_CA,9665887
North America,US,Jackson_Vicksburg_Brookhaven_MS,674340
North America,US,Los_Angeles_Long_Beach_Orange_County_CA,13214799
North America,US,Virginia_Beach_Norfolk_VA_NC,1768901
North America,US,Salt_Lake_City_Provo_Orem_UT,2598903
North America,US,San_Diego_Chula_Vista_Carlsbad_CA,3338330
North America,US,Denver_Aurora_CO,3617927
North America,US,Dallas_Fort_Worth_Arlington_TX,7573136
North America,US,Hartford_East_Hartford_CT,1470083
North America,US,Albuquerque_Santa_Fe_Las_Vegas_NM,1158464
North America,US,Austin_Round_Rock_Georgetown_TX,2227083
North America,US,New_Haven_Milford_CT,854757
North America,US,Philadelphia_Camden_Wilmington_PA_NJ_DE_MD,6102434
North America,US,Houston_The_Woodlands_Sugar_Land_TX,7066141
North America,US,Washington_Arlington_Alexandria_DC_VA_MD_WV,6267226
North America,US,Sheridan_WY,30485
North America,US,Baltimore_Columbia_Towson_MD,2800053
North America,US,Orlando_Kissimmee_Sanford_FL,2608147
North America,US,Fargo_Wahpeton_ND_MN,268529
North America,US,Boston_Cambridge_Newton_MA_NH,4873019
North America,US,Cleveland_Elyria_OH,2048449
North America,US,Columbus_OH,2122271
North America,US,Detroit_Warren_Dearborn_Ann_Arbor_MI,5341994
North America,US,Minneapolis_MN_WI,3640043
North America,US,Portland_Vancouver_Salem_OR_WA,3259710
