continent,country,province,train_start_date,train_end_date,train_mape_cases,train_mape_deaths,train_sign_mpe_cases,train_sign_mpe_deaths,train_mae_cases,train_mae_deaths,train_rmse_cases,train_rmse_deaths,test_start_date,test_end_date,test_mape_cases,test_mape_deaths,test_sign_mpe_cases,test_sign_mpe_deaths,test_mae_cases,test_mae_deaths,test_rmse_cases,test_rmse_deaths,mape_daily_delta_cases,mape_daily_delta_deaths
Europe,Romania,None,2020-03-14,2020-06-05,11.458,31.844,-1.0,-1.0,158.031,13.399,207.249,17.162,2020-06-06,2020-06-20,6.791,1.908,1.0,1.0,1516.114,27.64,3780.539,263.732,61.902,29.65
Europe,San Marino,None,2020-03-15,2020-06-05,4.002,15.41,-1.0,1.0,12.038,4.611,17.681,5.584,2020-06-06,2020-06-20,1.678,8.107,1.0,-1.0,11.627,3.405,121.698,3.842,66.848,
Europe,Serbia,None,2020-03-19,2020-06-05,4.131,21.629,1.0,-1.0,111.597,3.45,137.536,5.399,2020-06-06,2020-06-20,6.162,2.976,1.0,1.0,761.725,7.588,2596.695,53.49,87.076,72.122
Europe,Slovakia,None,2020-03-18,2020-06-05,5.603,74.931,1.0,-1.0,37.491,2.27,52.071,2.94,2020-06-06,2020-06-20,0.789,8.857,1.0,-1.0,12.254,2.48,339.211,8.001,68.239,
Europe,Slovenia,None,2020-03-13,2020-06-05,1.972,47.611,1.0,-1.0,8.138,3.463,15.418,4.845,2020-06-06,2020-06-20,1.302,3.144,1.0,-1.0,19.555,3.427,298.551,25.42,95.254,
Europe,Spain,None,2020-03-02,2020-06-05,6.359,15.329,1.0,-1.0,2748.646,382.042,3479.535,476.394,2020-06-06,2020-06-20,4.014,2.448,1.0,-1.0,9781.37,666.799,50591.081,5808.718,88.155,2087.944
Europe,Sweden,None,2020-03-06,2020-06-05,7.817,439.225,-1.0,-1.0,481.647,158.651,662.754,190.228,2020-06-06,2020-06-20,14.755,5.932,1.0,-1.0,7617.107,289.544,7177.866,916.798,59.367,105.594
Europe,Switzerland,None,2020-03-05,2020-06-05,5.998,15.523,1.0,-1.0,159.152,28.846,199.43,40.641,2020-06-06,2020-06-20,1.119,0.886,1.0,-1.0,348.312,17.125,7030.414,428.566,90.489,60.745
Europe,Ukraine,None,2020-03-25,2020-06-05,4.443,7.965,1.0,1.0,235.348,18.653,510.408,26.481,2020-06-06,2020-06-20,18.173,16.977,1.0,1.0,5863.869,153.782,5270.574,151.287,67.991,58.271
Europe,United Kingdom,None,2020-03-05,2020-06-05,14.718,177.486,-1.0,-1.0,1849.281,902.114,2333.438,1097.846,2020-06-06,2020-06-20,2.543,0.445,1.0,-1.0,7526.254,184.396,52523.621,7264.851,33.409,19.418
North America,Canada,Alberta,2020-03-19,2020-06-05,12.444,18.052,1.0,-1.0,212.538,2.44,271.671,3.257,2020-06-06,2020-06-20,1.438,1.823,1.0,1.0,106.97,2.746,1606.193,30.445,60.532,39.062
