continent,country,province,train_start_date,train_end_date,train_mape_cases,train_mape_deaths,train_sign_mpe_cases,train_sign_mpe_deaths,train_mae_cases,train_mae_deaths,train_rmse_cases,train_rmse_deaths,test_start_date,test_end_date,test_mape_cases,test_mape_deaths,test_sign_mpe_cases,test_sign_mpe_deaths,test_mae_cases,test_mae_deaths,test_rmse_cases,test_rmse_deaths,mape_daily_delta_cases,mape_daily_delta_deaths
Africa,Sao Tome and Principe,None,2020-05-05,2020-06-05,9.036,8.215,-1.0,1.0,28.765,0.721,38.131,0.938,2020-06-06,2020-06-20,9.243,49.316,-1.0,-1.0,56.355,5.918,228.98,5.885,72.661,
Africa,Senegal,None,2020-03-26,2020-06-05,11.105,11.97,1.0,1.0,47.109,0.931,55.535,1.181,2020-06-06,2020-06-20,8.055,9.758,1.0,1.0,417.228,6.97,1015.815,12.728,34.149,47.117
Africa,Sierra Leone,None,2020-04-28,2020-06-05,2.834,9.951,-1.0,-1.0,13.051,2.117,16.475,2.442,2020-06-06,2020-06-20,6.753,15.773,1.0,-1.0,81.776,8.003,334.435,17.453,39.42,74.14
Africa,Somalia,None,2020-04-17,2020-06-05,3.888,11.185,-1.0,1.0,30.501,3.497,39.472,4.293,2020-06-06,2020-06-20,7.524,7.547,1.0,-1.0,193.903,6.546,608.228,21.528,41.598,33.599
Africa,South Africa,None,2020-03-18,2020-06-05,14.515,27.011,1.0,-1.0,336.542,7.747,426.802,10.539,2020-06-06,2020-06-20,4.061,3.102,1.0,1.0,2863.495,42.288,17170.068,382.879,6.92,8.233
Africa,South Sudan,None,2020-05-08,2020-06-05,16.055,25.236,-1.0,1.0,69.968,1.418,90.978,1.688,2020-06-06,2020-06-20,22.025,28.32,1.0,1.0,369.524,7.448,541.643,7.871,72.935,67.741
Africa,Sudan,None,2020-04-20,2020-06-05,3.253,14.967,1.0,1.0,49.019,12.209,67.12,14.513,2020-06-06,2020-06-20,2.439,2.027,-1.0,1.0,179.151,8.808,2272.234,145.544,17.773,19.576
Africa,Tanzania,None,2020-04-17,2020-06-05,4.844,6.745,-1.0,-1.0,17.358,0.914,27.85,1.257,2020-06-06,2020-06-20,1.426,2.043,-1.0,-1.0,7.258,0.429,113.545,5.065,,
Africa,Togo,None,2020-04-29,2020-06-05,4.145,5.414,-1.0,1.0,8.915,0.582,11.498,0.717,2020-06-06,2020-06-20,7.698,7.553,1.0,-1.0,40.97,0.982,148.028,1.809,49.664,
Africa,Tunisia,None,2020-03-24,2020-06-05,1.724,5.51,1.0,-1.0,11.648,1.315,15.307,1.616,2020-06-06,2020-06-20,4.273,4.485,1.0,1.0,47.755,2.213,210.57,10.195,91.844,88.525
Africa,Uganda,None,2020-05-07,2020-06-05,16.915,,-1.0,,40.341,0.025,50.775,0.032,2020-06-06,2020-06-20,14.11,,1.0,,97.296,0.103,234.938,0.08,35.098,
Africa,Zambia,None,2020-04-30,2020-06-05,12.816,16.166,-1.0,1.0,38.262,1.065,51.104,1.443,2020-06-06,2020-06-20,11.698,18.912,1.0,1.0,159.149,1.928,435.943,1.484,82.554,87.284
Asia,Afghanistan,None,2020-03-27,2020-06-05,8.404,22.332,-1.0,1.0,199.722,17.108,248.524,21.532,2020-06-06,2020-06-20,14.293,15.182,-1.0,-1.0,3692.208,71.365,7771.98,142.273,64.386,16.246
Asia,Armenia,None,2020-03-19,2020-06-05,13.57,26.164,1.0,-1.0,160.0,5.078,187.835,6.639,2020-06-06,2020-06-20,5.979,7.157,-1.0,1.0,1042.841,17.932,4322.479,63.268,23.735,7.132
Asia,Azerbaijan,None,2020-03-26,2020-06-05,17.028,11.652,1.0,1.0,234.794,2.503,292.379,3.104,2020-06-06,2020-06-20,18.632,18.789,1.0,1.0,1863.693,22.731,1706.691,20.22,47.993,43.558
Asia,Bahrain,None,2020-03-10,2020-06-05,14.65,36.133,-1.0,1.0,182.712,1.877,214.209,2.317,2020-06-06,2020-06-20,1.147,23.435,1.0,1.0,206.113,10.68,3848.832,6.25,6.385,59.227
Asia,Bangladesh,None,2020-04-06,2020-06-05,27.198,18.233,-1.0,1.0,381.588,25.26,461.561,31.158,2020-06-06,2020-06-20,1.552,6.603,-1.0,-1.0,1499.318,80.129,25650.725,354.529,6.902,13.361
Asia,Cambodia,None,2020-03-29,2020-06-05,0.816,,-1.0,,0.986,0.003,1.115,0.004,2020-06-06,2020-06-20,3.108,,1.0,,3.967,0.007,4.477,0.005,99.937,
Asia,Georgia,None,2020-03-30,2020-06-05,2.241,11.077,1.0,-1.0,10.627,0.595,12.989,0.707,2020-06-06,2020-06-20,6.74,2.427,1.0,-1.0,58.455,0.324,151.77,3.057,57.063,42.072
Asia,India,None,2020-03-14,2020-06-05,35.349,54.877,-1.0,-1.0,815.435,103.556,1015.826,136.871,2020-06-06,2020-06-20,0.446,5.363,-1.0,1.0,1434.126,589.262,77806.132,2261.142,2.98,10.961
Asia,Indonesia,None,2020-03-15,2020-06-05,26.559,17.084,-1.0,1.0,367.525,71.748,458.225,98.422,2020-06-06,2020-06-20,5.608,8.244,1.0,-1.0,2232.887,173.502,6922.901,420.821,26.419,18.442
Asia,Iran,None,2020-02-26,2020-06-05,24.273,37.559,-1.0,-1.0,5154.882,442.611,6336.738,528.39,2020-06-06,2020-06-20,15.433,2.564,1.0,-1.0,28942.663,223.939,23176.606,1086.2,65.55,43.813
Asia,Iraq,None,2020-03-13,2020-06-05,19.676,29.345,1.0,1.0,347.774,21.5,456.927,25.822,2020-06-06,2020-06-20,44.164,36.853,1.0,1.0,9015.9,247.236,2312.613,74.332,74.667,70.889
Asia,Israel,None,2020-03-12,2020-06-05,4.776,21.076,1.0,-1.0,165.202,3.741,203.134,5.195,2020-06-06,2020-06-20,10.184,2.756,1.0,1.0,1971.271,8.295,3984.114,63.446,98.52,73.197
Asia,Japan,None,2020-02-21,2020-06-05,26.476,21.936,-1.0,1.0,744.727,18.598,968.319,26.221,2020-06-06,2020-06-20,4.104,13.007,-1.0,-1.0,709.613,121.132,3417.768,178.178,20.132,781.567
Asia,Jordan,None,2020-03-22,2020-06-05,7.878,20.654,1.0,1.0,32.265,1.213,37.595,1.378,2020-06-06,2020-06-20,13.839,24.349,1.0,-1.0,131.361,2.191,114.646,1.704,68.875,
Asia,Kazakhstan,None,2020-03-26,2020-06-05,18.179,29.421,-1.0,1.0,222.399,5.673,266.535,6.732,2020-06-06,2020-06-20,9.172,9.869,-1.0,1.0,1371.311,9.188,3682.757,15.576,75.783,37.228
Asia,"Korea, South",None,2020-02-20,2020-06-05,8.403,6.95,-1.0,-1.0,260.034,5.46,373.161,7.438,2020-06-06,2020-06-20,7.536,0.41,1.0,-1.0,913.52,1.132,2082.232,48.158,98.298,42.043
Asia,Kuwait,None,2020-03-14,2020-06-05,13.564,47.626,1.0,-1.0,393.384,3.107,547.794,4.413,2020-06-06,2020-06-20,12.121,17.69,-1.0,-1.0,4386.147,52.597,9091.19,81.941,69.261,71.34
Asia,Lebanon,None,2020-03-15,2020-06-05,11.246,21.427,1.0,-1.0,66.672,2.972,74.286,3.364,2020-06-06,2020-06-20,11.4,4.643,1.0,-1.0,163.986,1.435,188.341,4.56,38.127,51.372
Asia,Malaysia,None,2020-03-09,2020-06-05,10.83,44.562,-1.0,-1.0,186.623,5.394,212.051,6.581,2020-06-06,2020-06-20,7.447,3.946,1.0,-1.0,627.975,4.694,1425.558,23.663,30.731,41.218
Asia,Maldives,None,2020-04-23,2020-06-05,6.615,15.93,1.0,1.0,47.385,0.489,54.252,0.587,2020-06-06,2020-06-20,2.49,5.839,-1.0,1.0,50.564,0.467,584.981,2.268,68.344,39.611
Asia,Mongolia,None,2020-05-16,2020-06-05,5.891,,-1.0,,8.811,0.056,11.043,0.066,2020-06-06,2020-06-20,1.405,,1.0,,2.777,0.156,36.387,0.144,61.769,
Asia,Nepal,None,2020-05-07,2020-06-05,8.849,19.251,1.0,1.0,36.535,0.608,46.059,0.708,2020-06-06,2020-06-20,29.899,84.468,-1.0,-1.0,1981.461,16.385,4825.667,21.979,61.368,194.007
Asia,None,None,None,None,15.156,26.231,,,901.308,34.798,1229.341,45.808,None,None,10.402,17.155,,,4912.883,121.632,12383.349,248.56,52.433,96.4
Asia,Oman,None,2020-03-26,2020-06-05,15.594,23.437,1.0,1.0,296.536,2.263,387.051,2.828,2020-06-06,2020-06-20,6.013,2.681,1.0,1.0,1355.794,2.623,5701.374,26.736,11.756,19.73
Asia,Pakistan,None,2020-03-16,2020-06-05,57.276,79.992,-1.0,-1.0,15872.512,319.495,23225.288,487.194,2020-06-06,2020-06-20,38.17,53.611,-1.0,-1.0,50060.234,1400.259,64456.492,1402.456,5.68,35.094
