continent,country,province,train_start_date,train_end_date,train_mape_cases,train_mape_deaths,train_sign_mpe_cases,train_sign_mpe_deaths,train_mae_cases,train_mae_deaths,train_mse_cases,train_mse_deaths,test_start_date,test_end_date,test_mape_cases,test_mape_deaths,test_sign_mpe_cases,test_sign_mpe_deaths,test_mae_cases,test_mae_deaths,test_mse_cases,test_mse_deaths,mape_daily_delta_cases,mape_daily_delta_deaths
Asia,Iran,None,2020-02-26 00:00:00,2020-04-23 00:00:00,16.79589046890924,15.755,1.0,1.0,1519.634,150.245,4381669.734,38756.316,2020-04-24 00:00:00,2020-05-08 00:00:00,3.016,1.271,1.0,1.0,2994.411,77.524,14177457.361,8764.342,26.672,20.606
Asia,Iraq,None,2020-03-13 00:00:00,2020-04-23 00:00:00,4.366881516484223,11.323,-1.0,1.0,24.463,5.011,897.454,39.522,2020-04-24 00:00:00,2020-05-08 00:00:00,18.023,4.771,1.0,-1.0,413.233,4.337,231224.86,24.582,73.404,40.881
Asia,Israel,None,2020-03-13 00:00:00,2020-04-23 00:00:00,15.356287445445767,62.442,-1.0,-1.0,209.444,4.596,77356.614,31.92,2020-04-24 00:00:00,2020-05-08 00:00:00,2.068,10.57,1.0,-1.0,328.323,24.011,111876.433,670.377,10.303,92.418
Asia,Japan,None,2020-02-21 00:00:00,2020-04-23 00:00:00,34.04265443320687,28.377,-1.0,1.0,649.249,11.761,809644.486,279.703,2020-04-24 00:00:00,2020-05-08 00:00:00,10.059,21.654,1.0,1.0,1427.282,102.154,2149527.55,11403.575,18.18,25.891
Asia,Jordan,None,2020-03-22 00:00:00,2020-04-23 00:00:00,2.1494874505038943,20.063,-1.0,-1.0,5.325,0.616,45.883,0.723,2020-04-24 00:00:00,2020-05-08 00:00:00,3.953,8.615,1.0,1.0,18.733,0.719,548.797,0.648,41.441,76.582
Asia,Kazakhstan,None,2020-03-26 00:00:00,2020-04-23 00:00:00,6.446040221606725,27.908,1.0,-1.0,39.364,1.043,2133.912,1.743,2020-04-24 00:00:00,2020-05-08 00:00:00,10.68,21.747,1.0,-1.0,414.589,5.96,231338.989,46.222,24.863,64.622
Asia,"Korea, South",None,2020-02-20 00:00:00,2020-04-23 00:00:00,11.280905160229002,9.948,-1.0,1.0,368.289,6.586,321116.216,67.304,2020-04-24 00:00:00,2020-05-08 00:00:00,0.867,1.562,1.0,1.0,93.474,3.892,9189.165,15.482,49.514,28.039
Asia,Kuwait,None,2020-03-14 00:00:00,2020-04-23 00:00:00,8.140610464499735,104.122,1.0,-1.0,33.019,1.258,1687.693,2.51,2020-04-24 00:00:00,2020-05-08 00:00:00,22.893,42.7,1.0,1.0,1202.03,13.812,2254227.73,228.778,51.153,57.387
Asia,Lebanon,None,2020-03-15 00:00:00,2020-04-23 00:00:00,3.6462208778913756,19.909,-1.0,-1.0,10.091,1.382,183.023,2.916,2020-04-24 00:00:00,2020-05-08 00:00:00,3.637,3.588,1.0,1.0,27.336,0.882,1178.874,0.907,57.223,60.198
Asia,Malaysia,None,2020-03-09 00:00:00,2020-04-23 00:00:00,13.330165569950262,33.386,-1.0,-1.0,69.927,5.977,7475.91,54.818,2020-04-24 00:00:00,2020-05-08 00:00:00,1.809,26.836,1.0,-1.0,114.28,27.714,22751.906,828.193,20.845,201.542
Asia,None,None,None,None,10.080104549395411,26.878,None,None,217.005,8.869,363477.82,1290.612,None,None,14.698,31.364,None,None,1826.63,36.459,14493676.928,5181.511,41.525,101.448
Asia,Oman,None,2020-03-26 00:00:00,2020-04-23 00:00:00,3.7492386656925176,15.632,1.0,1.0,14.594,0.399,401.561,0.231,2020-04-24 00:00:00,2020-05-08 00:00:00,10.871,44.833,-1.0,-1.0,277.767,5.456,95814.523,37.633,39.004,208.227
Asia,Pakistan,None,2020-03-16 00:00:00,2020-04-23 00:00:00,10.283292410313278,8.308,1.0,-1.0,226.719,3.728,75739.053,30.46,2020-04-24 00:00:00,2020-05-08 00:00:00,20.23,12.697,1.0,1.0,4061.893,59.1,22656056.117,5108.805,41.386,19.335
Asia,Philippines,None,2020-03-14 00:00:00,2020-04-23 00:00:00,9.210825467502518,9.566,-1.0,1.0,109.203,8.302,20730.169,107.859,2020-04-24 00:00:00,2020-05-08 00:00:00,11.57,3.168,1.0,1.0,1080.863,19.555,1648864.625,667.755,47.532,15.373
Asia,Qatar,None,2020-03-11 00:00:00,2020-04-23 00:00:00,18.10084122787486,72.649,1.0,-1.0,493.243,2.738,790362.693,15.628,2020-04-24 00:00:00,2020-05-08 00:00:00,54.308,191.715,1.0,-1.0,7864.536,21.471,68526859.567,494.067,74.537,747.863
Asia,Russia,None,2020-03-17 00:00:00,2020-04-23 00:00:00,11.023345006615955,20.775,-1.0,-1.0,1015.531,3.917,1971348.089,26.589,2020-04-24 00:00:00,2020-05-08 00:00:00,6.138,9.662,1.0,-1.0,8730.18,129.107,134695559.462,28253.384,8.8,16.692
Asia,Saudi Arabia,None,2020-03-14 00:00:00,2020-04-23 00:00:00,23.382499728135528,31.004,1.0,1.0,382.486,6.579,210505.032,74.526,2020-04-24 00:00:00,2020-05-08 00:00:00,10.253,36.847,1.0,-1.0,2672.609,66.672,8836180.494,5235.351,16.601,94.549
Asia,Singapore,None,2020-02-29 00:00:00,2020-04-23 00:00:00,19.80014128400117,38.547,-1.0,-1.0,677.425,2.026,2572944.777,10.571,2020-04-24 00:00:00,2020-05-08 00:00:00,67.434,96.553,1.0,-1.0,11469.89,15.322,137237541.145,239.743,82.213,131.051
Asia,Sri Lanka,None,2020-03-24 00:00:00,2020-04-23 00:00:00,5.033898418175753,27.973,1.0,-1.0,9.811,1.053,151.466,1.478,2020-04-24 00:00:00,2020-05-08 00:00:00,35.75,51.112,1.0,-1.0,245.856,3.871,66299.032,15.762,71.673,155.156
Asia,Thailand,None,2020-03-15 00:00:00,2020-04-23 00:00:00,5.71306490509274,47.767,-1.0,-1.0,43.559,2.11,2868.157,6.49,2020-04-24 00:00:00,2020-05-08 00:00:00,0.679,14.96,-1.0,-1.0,20.147,8.058,489.741,74.364,20.412,152.051
Asia,Turkey,None,2020-03-19 00:00:00,2020-04-23 00:00:00,9.104970135301723,7.646,-1.0,-1.0,452.988,16.42,284633.859,436.03,2020-04-24 00:00:00,2020-05-08 00:00:00,4.339,0.833,-1.0,1.0,5385.433,25.751,33169930.72,785.161,24.11,1.618
Asia,United Arab Emirates,None,2020-03-18 00:00:00,2020-04-23 00:00:00,4.619020848956633,24.918,-1.0,1.0,59.062,1.576,7429.559,3.647,2020-04-24 00:00:00,2020-05-08 00:00:00,11.688,22.516,1.0,1.0,1647.726,29.052,3652391.678,1204.506,32.128,48.801
Asia,Uzbekistan,None,2020-03-28 00:00:00,2020-04-23 00:00:00,6.574371058490125,23.666,1.0,-1.0,41.757,0.916,2993.034,1.493,2020-04-24 00:00:00,2020-05-08 00:00:00,10.018,50.04,-1.0,-1.0,208.983,4.63,45802.559,24.025,49.614,111.196
Asia,Vietnam,None,2020-03-22 00:00:00,2020-04-23 00:00:00,3.679009773892266,,-1.0,,7.058,1.064,79.23,1.493,2020-04-24 00:00:00,2020-05-08 00:00:00,3.304,,-1.0,,8.976,2.22,84.969,4.945,97.865,
Europe,Albania,None,2020-03-23 00:00:00,2020-04-23 00:00:00,3.2653772373827215,11.459,-1.0,-1.0,10.953,1.793,168.037,4.506,2020-04-24 00:00:00,2020-05-08 00:00:00,7.747,13.736,1.0,-1.0,60.37,4.115,3713.506,17.929,25.115,47.169
Europe,Andorra,None,2020-03-22 00:00:00,2020-04-23 00:00:00,1.8923930615221827,30.37,-1.0,-1.0,6.957,1.055,79.586,2.163,2020-04-24 00:00:00,2020-05-08 00:00:00,2.449,2.124,-1.0,1.0,18.299,0.945,381.339,1.352,36.44,37.322
Europe,Austria,None,2020-03-08 00:00:00,2020-04-23 00:00:00,36.35115774014643,172.552,-1.0,-1.0,630.897,21.758,561127.464,757.9,2020-04-24 00:00:00,2020-05-08 00:00:00,6.075,2.381,-1.0,-1.0,940.978,14.051,892590.13,317.185,48.522,50.08
Europe,Belarus,None,2020-03-30 00:00:00,2020-04-23 00:00:00,14.977010676615379,21.407,-1.0,1.0,155.437,3.509,49400.228,17.823,2020-04-24 00:00:00,2020-05-08 00:00:00,10.055,30.291,1.0,-1.0,1585.612,29.28,3000214.081,1029.256,20.174,67.297
Europe,Belgium,None,2020-03-06 00:00:00,2020-04-23 00:00:00,37.01205877287511,400.79,-1.0,-1.0,687.249,247.575,791846.106,96875.485,2020-04-24 00:00:00,2020-05-08 00:00:00,8.005,15.353,-1.0,-1.0,3981.84,1218.608,20334153.836,1999965.803,42.856,89.178
Europe,Bosnia and Herzegovina,None,2020-03-22 00:00:00,2020-04-23 00:00:00,2.019173205576929,27.323,-1.0,-1.0,9.483,2.027,164.192,6.6,2020-04-24 00:00:00,2020-05-08 00:00:00,10.381,12.214,1.0,1.0,195.521,9.947,54611.203,180.139,60.277,47.546
Europe,Bulgaria,None,2020-03-20 00:00:00,2020-04-23 00:00:00,4.075358989650833,26.971,1.0,-1.0,21.736,1.765,761.409,4.914,2020-04-24 00:00:00,2020-05-08 00:00:00,20.544,2.635,1.0,1.0,324.787,1.896,116881.842,5.926,59.136,20.287
Europe,Croatia,None,2020-03-19 00:00:00,2020-04-23 00:00:00,2.461498757724391,41.358,1.0,-1.0,17.665,2.565,455.836,9.628,2020-04-24 00:00:00,2020-05-08 00:00:00,1.581,16.209,-1.0,1.0,33.06,12.367,1326.469,194.61,33.802,43.348
Europe,Cyprus,None,2020-03-23 00:00:00,2020-04-23 00:00:00,4.616762939567826,15.818,-1.0,1.0,13.853,1.271,334.514,3.175,2020-04-24 00:00:00,2020-05-08 00:00:00,0.878,1.663,-1.0,-1.0,7.305,0.247,85.378,0.084,12.082,44.313
Europe,Czechia,None,2020-03-13 00:00:00,2020-04-23 00:00:00,3.072602415752035,105.41,1.0,-1.0,60.907,7.221,5856.846,86.094,2020-04-24 00:00:00,2020-05-08 00:00:00,2.126,8.461,1.0,-1.0,166.107,20.586,36444.033,456.554,22.81,63.817
Europe,Denmark,None,2020-03-10 00:00:00,2020-04-23 00:00:00,11.271783576709971,91.981,1.0,-1.0,155.584,10.197,39377.619,142.899,2020-04-24 00:00:00,2020-05-08 00:00:00,5.527,1.789,1.0,-1.0,528.169,8.405,360687.592,87.36,35.923,11.169
Europe,Estonia,None,2020-03-14 00:00:00,2020-04-23 00:00:00,6.350739540825573,97.391,1.0,-1.0,26.424,2.419,1128.174,9.729,2020-04-24 00:00:00,2020-05-08 00:00:00,1.03,3.132,1.0,-1.0,17.352,1.676,328.338,4.156,13.285,36.474
Europe,Finland,None,2020-03-13 00:00:00,2020-04-23 00:00:00,5.917607070103576,115.975,1.0,-1.0,56.77,10.384,4330.452,172.443,2020-04-24 00:00:00,2020-05-08 00:00:00,2.592,22.971,1.0,1.0,137.761,49.97,28441.309,2514.657,10.232,8.368
Europe,France,None,2020-03-01 00:00:00,2020-04-23 00:00:00,6.155427446442258,115.516,-1.0,-1.0,2719.494,573.723,20465569.441,541186.299,2020-04-24 00:00:00,2020-05-08 00:00:00,18.464,17.581,-1.0,-1.0,30996.048,4358.182,1076127290.941,21761145.099,212.888,122.036
Europe,Germany,None,2020-03-01 00:00:00,2020-04-23 00:00:00,33.58095096071406,248.867,-1.0,-1.0,2664.986,218.411,10861893.71,76271.263,2020-04-24 00:00:00,2020-05-08 00:00:00,2.871,4.919,-1.0,1.0,4700.369,319.681,22708520.512,110075.412,17.89,11.193
Europe,Greece,None,2020-03-13 00:00:00,2020-04-23 00:00:00,4.069332984183547,13.484,1.0,-1.0,33.627,2.536,1745.167,8.848,2020-04-24 00:00:00,2020-05-08 00:00:00,4.057,5.161,1.0,1.0,105.794,7.322,11725.742,56.657,28.632,37.121
Europe,Hungary,None,2020-03-21 00:00:00,2020-04-23 00:00:00,7.299409720406458,17.362,1.0,-1.0,38.959,5.46,2292.793,47.71,2020-04-24 00:00:00,2020-05-08 00:00:00,2.112,7.838,1.0,-1.0,59.987,26.881,4208.468,968.983,8.4,35.014
Europe,Iceland,None,2020-03-12 00:00:00,2020-04-23 00:00:00,4.761332961014982,30.269,1.0,-1.0,41.573,1.063,3083.487,1.965,2020-04-24 00:00:00,2020-05-08 00:00:00,5.673,44.307,-1.0,-1.0,101.946,4.431,10805.305,20.598,781.63,
Europe,Ireland,None,2020-03-14 00:00:00,2020-04-23 00:00:00,12.885408409022498,64.039,1.0,-1.0,315.894,8.743,157093.143,106.456,2020-04-24 00:00:00,2020-05-08 00:00:00,9.754,7.495,-1.0,1.0,2084.319,90.512,5558236.603,10226.217,52.532,25.877
Europe,Italy,None,2020-02-23 00:00:00,2020-04-23 00:00:00,5.443750622052522,31.948,-1.0,-1.0,1388.576,246.654,3140195.991,98560.384,2020-04-24 00:00:00,2020-05-08 00:00:00,3.688,2.257,1.0,1.0,7684.208,649.119,64226236.094,518472.461,29.765,16.129
Europe,Kosovo,None,2020-03-31 00:00:00,2020-04-23 00:00:00,5.427860066773787,38.911,-1.0,-1.0,14.507,0.822,324.496,1.106,2020-04-24 00:00:00,2020-05-08 00:00:00,11.645,37.462,-1.0,-1.0,97.282,8.977,13070.836,104.119,50.49,225.389
Europe,Latvia,None,2020-03-20 00:00:00,2020-04-23 00:00:00,2.160633041074402,56.866,1.0,-1.0,9.572,1.214,160.63,2.238,2020-04-24 00:00:00,2020-05-08 00:00:00,7.38,40.243,1.0,1.0,64.609,6.139,4833.976,39.541,51.197,61.332
Europe,Lithuania,None,2020-03-22 00:00:00,2020-04-23 00:00:00,3.3871186430743196,10.794,1.0,1.0,26.486,1.066,1162.943,1.737,2020-04-24 00:00:00,2020-05-08 00:00:00,3.373,13.864,-1.0,-1.0,47.54,6.318,2296.706,46.014,1095.219,147.434
Europe,Luxembourg,None,2020-03-17 00:00:00,2020-04-23 00:00:00,3.422568515191698,11.237,-1.0,1.0,38.602,2.096,2386.421,7.716,2020-04-24 00:00:00,2020-05-08 00:00:00,0.402,1.449,1.0,-1.0,15.375,1.324,338.19,2.641,14.064,21.258
Europe,Malta,None,2020-03-23 00:00:00,2020-04-23 00:00:00,4.980496528642594,18.289,-1.0,1.0,12.46,0.543,233.065,0.435,2020-04-24 00:00:00,2020-05-08 00:00:00,6.324,8.168,-1.0,-1.0,29.547,0.317,883.692,0.167,129.159,29.958
Europe,Moldova,None,2020-03-23 00:00:00,2020-04-23 00:00:00,3.394468765806141,30.729,-1.0,-1.0,22.023,1.999,851.964,5.643,2020-04-24 00:00:00,2020-05-08 00:00:00,13.366,6.488,1.0,1.0,548.129,8.237,356502.618,89.655,48.025,22.042
