continent,country,province,train_start_date,train_end_date,train_mape_cases,train_mape_deaths,train_sign_mpe_cases,train_sign_mpe_deaths,train_mae_cases,train_mae_deaths,train_mse_cases,train_mse_deaths,test_start_date,test_end_date,test_mape_cases,test_mape_deaths,test_sign_mpe_cases,test_sign_mpe_deaths,test_mae_cases,test_mae_deaths,test_mse_cases,test_mse_deaths,mape_daily_delta_cases,mape_daily_delta_deaths
Europe,United Kingdom,None,2020-03-05 00:00:00,2020-04-23 00:00:00,16.327892979254308,158.536,-1.0,-1.0,1249.115,402.933,2509771.931,244066.665,2020-04-24 00:00:00,2020-05-08 00:00:00,1.427,9.885,-1.0,-1.0,2535.929,2776.848,10191316.501,9253525.449,5.645,34.999
North America,Canada,Alberta,2020-03-19 00:00:00,2020-04-23 00:00:00,13.137436254932178,78.555,1.0,-1.0,127.06,3.205,23954.661,15.316,2020-04-24 00:00:00,2020-05-08 00:00:00,13.427,7.544,1.0,-1.0,711.734,6.68,528331.984,50.347,29.098,29.552
North America,Canada,British Columbia,2020-03-16 00:00:00,2020-04-23 00:00:00,6.993794700645732,11.202,-1.0,-1.0,38.14,2.849,1969.812,12.642,2020-04-24 00:00:00,2020-05-08 00:00:00,12.829,4.121,1.0,1.0,276.586,4.649,84371.55,23.605,64.782,10.425
North America,Canada,Manitoba,2020-03-31 00:00:00,2020-04-23 00:00:00,4.3396386405212946,8.572,1.0,-1.0,9.345,0.232,127.475,0.074,2020-04-24 00:00:00,2020-05-08 00:00:00,1.485,16.956,-1.0,-1.0,4.075,1.055,20.779,1.26,29.607,82.464
North America,Canada,New Brunswick,2020-04-06 00:00:00,2020-04-23 00:00:00,5.537427248447708,,-1.0,,6.436,0.378,58.93,0.189,2020-04-24 00:00:00,2020-05-08 00:00:00,15.596,,-1.0,,18.479,0.907,344.394,0.832,356.368,
North America,Canada,Newfoundland and Labrador,2020-03-27 00:00:00,2020-04-23 00:00:00,2.649372050852037,24.53,-1.0,-1.0,5.369,0.34,46.664,0.185,2020-04-24 00:00:00,2020-05-08 00:00:00,5.643,19.503,-1.0,-1.0,14.6,0.585,218.181,0.36,204.283,
North America,Canada,None,None,None,6.4072502273203025,43.934,None,None,66.841,10.796,19010.385,905.15,None,None,10.629,17.956,None,None,651.455,56.581,2097202.328,26178.093,102.885,45.462
North America,Canada,Nova Scotia,2020-03-28 00:00:00,2020-04-23 00:00:00,3.04663199705712,75.422,1.0,-1.0,9.405,1.558,133.206,3.702,2020-04-24 00:00:00,2020-05-08 00:00:00,10.805,45.342,-1.0,1.0,105.224,14.814,15323.229,248.475,90.739,62.918
North America,Canada,Ontario,2020-03-15 00:00:00,2020-04-23 00:00:00,7.022822199914809,56.288,1.0,-1.0,146.591,18.715,38422.298,532.62,2020-04-24 00:00:00,2020-05-08 00:00:00,7.932,1.91,-1.0,-1.0,1471.804,26.146,2696964.491,1263.248,37.242,7.163
North America,Canada,Quebec,2020-03-19 00:00:00,2020-04-23 00:00:00,13.016745637609484,87.647,-1.0,-1.0,254.746,69.598,106343.575,7581.481,2020-04-24 00:00:00,2020-05-08 00:00:00,9.954,21.748,1.0,1.0,3176.939,452.634,15538375.166,234010.673,30.65,34.682
North America,Canada,Saskatchewan,2020-03-28 00:00:00,2020-04-23 00:00:00,1.921383315902369,9.253,-1.0,1.0,4.473,0.29,36.845,0.142,2020-04-24 00:00:00,2020-05-08 00:00:00,17.99,26.522,1.0,1.0,83.654,1.76,10871.176,4.034,83.199,91.026
