Date,Cumulative Cases,Cumulative Deaths,Population,City
2020-03-06,3,0,4737270,Phoenix
2020-03-07,5,0,4737270,Phoenix
2020-03-08,5,0,4737270,Phoenix
2020-03-09,5,0,4737270,Phoenix
2020-03-10,5,0,4737270,Phoenix
2020-03-11,8,0,4737270,Phoenix
2020-03-12,8,0,4737270,Phoenix
2020-03-13,8,0,4737270,Phoenix
2020-03-14,9,0,4737270,Phoenix
2020-03-15,9,0,4737270,Phoenix
2020-03-16,13,0,4737270,Phoenix
2020-03-17,14,0,4737270,Phoenix
2020-03-18,19,0,4737270,Phoenix
2020-03-19,32,0,4737270,Phoenix
2020-03-20,44,1,4737270,Phoenix
2020-03-21,63,1,4737270,Phoenix
2020-03-22,97,2,4737270,Phoenix
2020-03-23,156,2,4737270,Phoenix
2020-03-24,221,2,4737270,Phoenix
2020-03-25,274,2,4737270,Phoenix
2020-03-26,334,4,4737270,Phoenix
2020-03-27,435,5,4737270,Phoenix
2020-03-28,495,5,4737270,Phoenix
2020-03-29,597,5,4737270,Phoenix
2020-03-30,754,5,4737270,Phoenix
2020-03-31,853,8,4737270,Phoenix
2020-04-01,936,8,4737270,Phoenix
2020-04-02,1030,12,4737270,Phoenix
2020-04-03,1126,17,4737270,Phoenix
2020-04-04,1260,28,4737270,Phoenix
2020-04-05,1429,31,4737270,Phoenix
2020-04-06,1540,31,4737270,Phoenix
2020-04-07,1615,35,4737270,Phoenix
2020-04-08,1683,37,4737270,Phoenix
2020-04-09,1826,42,4737270,Phoenix
2020-04-10,1879,44,4737270,Phoenix
2020-04-11,2037,50,4737270,Phoenix
2020-04-12,2123,52,4737270,Phoenix
2020-04-13,2188,56,4737270,Phoenix
2020-04-14,2231,59,4737270,Phoenix
2020-04-15,2328,65,4737270,Phoenix
2020-04-16,2461,69,4737270,Phoenix
2020-04-17,2616,74,4737270,Phoenix
2020-04-18,2726,76,4737270,Phoenix
2020-04-19,2836,82,4737270,Phoenix
2020-04-20,2892,82,4737270,Phoenix
2020-04-21,3006,91,4737270,Phoenix
2020-04-22,3129,105,4737270,Phoenix
2020-04-23,3273,123,4737270,Phoenix
2020-04-24,3433,129,4737270,Phoenix
2020-04-25,3566,130,4737270,Phoenix
2020-04-26,3701,131,4737270,Phoenix
2020-04-27,3816,131,4737270,Phoenix
2020-04-28,3943,146,4737270,Phoenix
2020-04-29,4110,151,4737270,Phoenix
2020-04-30,4369,156,4737270,Phoenix
2020-05-01,4573,160,4737270,Phoenix
2020-05-02,4856,172,4737270,Phoenix
2020-05-03,5041,181,4737270,Phoenix
2020-05-04,5219,181,4737270,Phoenix
2020-05-05,5407,190,4737270,Phoenix
2020-05-06,5635,201,4737270,Phoenix
2020-05-07,5726,219,4737270,Phoenix
2020-05-08,6091,257,4737270,Phoenix
2020-05-09,6364,264,4737270,Phoenix
2020-05-10,6427,266,4737270,Phoenix
2020-05-11,6608,269,4737270,Phoenix
2020-05-12,6855,279,4737270,Phoenix
2020-05-13,6984,301,4737270,Phoenix
2020-05-14,7249,320,4737270,Phoenix
2020-05-15,7491,330,4737270,Phoenix
2020-05-16,7774,350,4737270,Phoenix
2020-05-17,7933,350,4737270,Phoenix
2020-05-18,8042,355,4737270,Phoenix
2020-05-19,8202,371,4737270,Phoenix
2020-05-20,8368,394,4737270,Phoenix
2020-05-21,8567,398,4737270,Phoenix
2020-05-22,8699,405,4737270,Phoenix
2020-05-23,8928,420,4737270,Phoenix
2020-05-24,9032,421,4737270,Phoenix
2020-05-25,9143,422,4737270,Phoenix
2020-05-26,9214,421,4737270,Phoenix
