Date,Cumulative Cases,Cumulative Deaths,Population,City
2020-04-13,9572,217,5860342,Washington_Arlington_Alexandria
2020-04-14,10196,260,5860342,Washington_Arlington_Alexandria
2020-04-15,10796,299,5860342,Washington_Arlington_Alexandria
2020-04-16,11649,329,5860342,Washington_Arlington_Alexandria
2020-04-17,12499,360,5860342,Washington_Arlington_Alexandria
2020-04-18,13398,383,5860342,Washington_Arlington_Alexandria
2020-04-19,14217,419,5860342,Washington_Arlington_Alexandria
2020-04-20,15078,470,5860342,Washington_Arlington_Alexandria
2020-04-21,15915,534,5860342,Washington_Arlington_Alexandria
2020-04-22,16648,592,5860342,Washington_Arlington_Alexandria
2020-04-23,17671,655,5860342,Washington_Arlington_Alexandria
2020-04-24,18779,710,5860342,Washington_Arlington_Alexandria
2020-04-25,20116,775,5860342,Washington_Arlington_Alexandria
2020-04-26,20999,808,5860342,Washington_Arlington_Alexandria
2020-04-27,21952,881,5860342,Washington_Arlington_Alexandria
2020-04-28,23005,925,5860342,Washington_Arlington_Alexandria
2020-04-29,23981,1002,5860342,Washington_Arlington_Alexandria
2020-04-30,25181,1078,5860342,Washington_Arlington_Alexandria
2020-05-01,27420,1110,5860342,Washington_Arlington_Alexandria
2020-05-02,28576,1195,5860342,Washington_Arlington_Alexandria
2020-05-03,30015,1264,5860342,Washington_Arlington_Alexandria
2020-05-04,31286,1307,5860342,Washington_Arlington_Alexandria
2020-05-05,32357,1359,5860342,Washington_Arlington_Alexandria
2020-05-06,33108,1405,5860342,Washington_Arlington_Alexandria
2020-05-07,34728,1465,5860342,Washington_Arlington_Alexandria
2020-05-08,36252,1544,5860342,Washington_Arlington_Alexandria
2020-05-09,37598,1587,5860342,Washington_Arlington_Alexandria
2020-05-10,38999,1630,5860342,Washington_Arlington_Alexandria
2020-05-11,40244,1656,5860342,Washington_Arlington_Alexandria
2020-05-12,41236,1733,5860342,Washington_Arlington_Alexandria
2020-05-13,42312,1807,5860342,Washington_Arlington_Alexandria
2020-05-14,43889,1861,5860342,Washington_Arlington_Alexandria
2020-05-15,45124,1916,5860342,Washington_Arlington_Alexandria
2020-05-16,46463,1956,5860342,Washington_Arlington_Alexandria
2020-05-17,47572,1994,5860342,Washington_Arlington_Alexandria
2020-05-18,48782,2019,5860342,Washington_Arlington_Alexandria
2020-05-19,50844,2073,5860342,Washington_Arlington_Alexandria
2020-05-20,51846,2126,5860342,Washington_Arlington_Alexandria
2020-05-21,53673,2178,5860342,Washington_Arlington_Alexandria
2020-05-22,54832,2229,5860342,Washington_Arlington_Alexandria
2020-05-23,55945,2273,5860342,Washington_Arlington_Alexandria
2020-05-24,57355,2299,5860342,Washington_Arlington_Alexandria
2020-05-25,59049,2341,5860342,Washington_Arlington_Alexandria
2020-05-26,60571,2378,5860342,Washington_Arlington_Alexandria
