Date,Cumulative Cases,Cumulative Deaths,Population,City
2020-04-16,1275,71,3640043,Minneapolis
2020-04-17,1393,82,3640043,Minneapolis
2020-04-18,1482,91,3640043,Minneapolis
2020-04-19,1553,100,3640043,Minneapolis
2020-04-20,1626,106,3640043,Minneapolis
2020-04-21,1686,123,3640043,Minneapolis
2020-04-22,1769,141,3640043,Minneapolis
2020-04-23,1877,156,3640043,Minneapolis
2020-04-24,1981,176,3640043,Minneapolis
2020-04-25,2102,195,3640043,Minneapolis
2020-04-26,2187,221,3640043,Minneapolis
2020-04-27,2300,234,3640043,Minneapolis
2020-04-28,2472,245,3640043,Minneapolis
2020-04-29,2630,263,3640043,Minneapolis
2020-04-30,2821,285,3640043,Minneapolis
2020-05-01,2989,309,3640043,Minneapolis
2020-05-02,3271,331,3640043,Minneapolis
2020-05-03,3536,355,3640043,Minneapolis
2020-05-04,3782,362,3640043,Minneapolis
2020-05-05,4174,388,3640043,Minneapolis
2020-05-06,4651,416,3640043,Minneapolis
2020-05-07,5029,437,3640043,Minneapolis
2020-05-08,5470,460,3640043,Minneapolis
2020-05-09,5917,481,3640043,Minneapolis
2020-05-10,6239,499,3640043,Minneapolis
2020-05-11,6606,510,3640043,Minneapolis
2020-05-12,7092,530,3640043,Minneapolis
2020-05-13,7097,530,3640043,Minneapolis
2020-05-14,7695,573,3640043,Minneapolis
2020-05-15,8339,591,3640043,Minneapolis
2020-05-16,8884,605,3640043,Minneapolis
2020-05-17,9440,623,3640043,Minneapolis
2020-05-18,9958,632,3640043,Minneapolis
2020-05-19,10449,645,3640043,Minneapolis
2020-05-20,10923,671,3640043,Minneapolis
2020-05-21,11326,701,3640043,Minneapolis
2020-05-22,11902,732,3640043,Minneapolis
2020-05-23,12535,740,3640043,Minneapolis
2020-05-24,13157,756,3640043,Minneapolis
2020-05-25,13687,766,3640043,Minneapolis
2020-05-26,14216,780,3640043,Minneapolis
