Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Internal Parameter 1,Internal Parameter 2
South America,Brazil,Amazonas,2020-03-28,32.682218041794485,0.8879975972855789,11.853929112620616,3.0295469043246643,0.03986349041831205,0.2582575354273209,1.8078123793404608,0.3508713654979613
South America,Brazil,Bahia,2020-03-26,23.02889673443395,1.0961008588519998,-3.9980197604227112,1.9291387399743447,0.04581308209025832,0.11348847540470605,2.551016211717934,0.05261348783541982
South America,Brazil,Ceara,2020-03-22,19.992507278945727,0.8855537233311599,11.740710102788134,0.8142665536916538,0.029287446861310226,0.20351379282682688,0.06430506910554158,0.9451313173874908
South America,Brazil,Distrito Federal,2020-03-22,31.02356882787282,0.7881052311836723,-1.8039151081878104,4.305034901510991,0.04402598227506866,0.0615531897983617,2.066582339353008,0.24949428192069256
South America,Brazil,Espirito Santo,2020-04-02,9.050660700168324,0.8277489542566908,10.99986750118011,3.049433385538283,0.5499998058030711,0.027414861274385728,0.09000136874514574,0.5210042342254053
South America,Brazil,Minas Gerais,2020-03-23,24.778896979780587,0.6945020152054405,5.261248485123871,1.7538464973581938,0.0427356739448576,0.07234042238881391,1.5857432185267797,0.04304676214097701
South America,Brazil,Parana,2020-03-26,29.342740375705663,1.1170242231919236,4.692962910722693,5.949852703043822,0.7214118546017372,0.03427498618566375,0.14349754244043372,0.5577489462922905
South America,Brazil,Pernambuco,2020-04-02,6.712514257031843,1.185748876352972,8.999999870775593,3.2999880002252704,0.5011014693432787,0.14652558920428346,5.583039978193544,1.0473669183903471
South America,Brazil,Rio Grande do Norte,2020-04-02,7.2644291492806055,0.675000012903903,-10.999999713062387,3.299999927226956,0.2854431447836823,0.04594865083396684,0.09000001749158278,1.6464771671239842
South America,Brazil,Rio Grande do Sul,2020-03-25,7.656993910343214,0.7525297180901708,3.90299962333727,1.7538436037355762,0.06429893247084023,0.04401030961420521,0.11740576564330255,0.8810448630119075
South America,Brazil,Rio de Janeiro,2020-03-20,16.744507825396205,0.8013756363714422,13.523815865060055,0.6430459835392325,0.030288393603619963,0.28591930703730634,0.08475245678033733,1.7444638184336927
South America,Brazil,Santa Catarina,2020-03-24,53.65470835335349,1.4111115626963449,-5.2732116093567125,1.2914144514805026,0.4493428603448827,0.0264004591312064,0.946479039219306,0.19817779701802896
South America,Brazil,Sao Paulo,2020-03-15,22.172023595977677,1.2345143890559735,6.430454628043747,1.3448416756202215,0.11858359110977584,0.13298740891889846,0.14349578459599546,1.0714925321127429
Africa,South Africa,Gauteng,2020-03-20,27.041270829314485,0.3228506214347988,-4.605942750282242,6.430763275381995,0.03593371874146425,0.007860315762453515,5.237002332321434,0.17538500533237725
Africa,South Africa,KwaZulu Natal,2020-03-26,35.334492111761286,0.7280644261375528,-2.654123067116159,2.8817468280275658,0.08771479208172518,0.03311990546846296,0.8626388471324142,0.07859416193485783
Africa,South Africa,Western Cape,2020-03-24,26.48047379914811,0.5894543852066638,-12.417739048391715,3.8856596659006803,0.048800848590628616,0.019714495968855432,2.163135052961612,0.6773203471116434
South America,Peru,Lima,2020-03-18,17.108802259826028,1.1100175020404317,14.349484172014616,0.6430455769247825,0.035865354834481916,0.13664510308212824,0.06430843205866782,0.6857419451176934
North America,US,Chicago Metropolitan,2020-03-17,13.352195422823673,1.2704798131381922,3.723046962768658,2.1183631085796546,0.02512802175883885,0.1829341833722217,10.790458372206892,0.5262869192340992
North America,US,Detroit Metropolitan,2020-03-19,15.498627284819722,1.187868677446935,2.7991763030442405,2.472796480234955,0.06535267955706234,0.14664913361576334,11.821426153129279,0.31280372974820153
North America,US,NY-NJ Metropolitan,2020-03-15,25.095352120017786,2.2745666729570315,2.000388114782408,4.687203790962061,0.03197634871143297,0.2437215977754945,9.858529506655637,2.615595892670223
Asia,Russia,Moscow,2020-03-22,13.485209477962544,0.933863671704426,9.605878826492956,1.0117927511872282,0.05824408026881649,0.02335593537255552,3.4055623656591463,1.34354315635322
Asia,Russia,Moscow Oblast,2020-03-29,23.718551648920226,1.440833172901549,7.782885991076903,3.856798541193272,0.521595437711867,0.017751792612643372,1.445176404973232,0.0707893590058564
Asia,Russia,Saint Petersburg,2020-04-01,11.254913904370246,1.0124995124737302,4.816579595802495,2.9699964904051126,0.06050000595443732,0.012100001556434958,1.7478768688951096,0.20223533326542198
South America,Chile,Araucania,2020-03-26,6.840735919732571,0.7158898462650728,-2.843474293609393,2.881691334891671,0.06853135792102298,0.061902634499584885,3.0862763775574575,0.7327790374090104
South America,Chile,Biobio,2020-03-26,5.7086306115223335,0.5237821950644134,6.4303308499862455,1.1406511822899215,0.021523370222024035,0.004304673518695645,0.1434983269290666,1.176658016542212
South America,Chile,Los Lagos,2020-03-29,8.497457598476547,0.6295418877572911,-9.755021710746414,4.396152079032199,0.06580595280852651,0.015564693269247584,1.7578256347551948,0.7885108908552781
South America,Chile,Magallanes,2020-04-02,9.144268665974932,0.8548861310589388,0.9381012134028711,2.6999748562604804,0.5499997546971821,0.01200849218829384,0.11000016790192615,0.9310143449370772
South America,Chile,Nuble,2020-03-24,19.501344048029434,0.5108504118183539,7.938207410968682,1.1731437982235444,0.08765399628966832,0.01753095786170051,1.5925925982800515,0.4450674087399703
South America,Chile,Santiago,2020-03-16,17.477744038768016,0.954342215886439,1.8473400368392565,1.4349651353372412,0.041671475815954054,0.02112387531115801,3.2510863579960274,0.4015727075068035
